xlssc,RA,Dec,z [N_z],Source,R_{spec},F_{14}^{[0.5-2],F_{14}^{[0.5-2] error  (\pm),T_X,T_X  error \m,T_X  error \P,R_{500},L_{500}^{bol},L(Bol) 44,L_{500}^{bol} error \pm,L_{500}^{[0.5-2]},L(0.5-2) 44,L_{500}^{[0.5-2]} error \pm,L_corrected,M_{500} (M1),M_{500} (M2),,ref,,
,,,,,,,,,,,,,,,,,,,,,,,7.42,0.620125716
,,,,,,,,,,,,,,,,,,,,,,,7.43,0.620135458
,,,,,,,,,,,,,,,,,,,,,,,7.44,0.620146323
,,,,,,,,,,,,,,,,,,,,,,,7.45,0.620156072
,,,,,,,,,,,,,,,,,,,,,,,7.46,0.620165825
,,,,,,,,,,,,,,,,,,,,,,,7.47,0.620176702
,,,,,,,,,,,,,,,,,,,,,,,7.48,0.620186462
,,,,,,,,,,,,,,,,,,,,,,,7.49,0.620196225
,,,,,,,,,,,,,,,,,,,,,,,7.5,0.620207114
,,,,,,,,,,,,,,,,,,,,,,,7.51,0.620216885
,,,,,,,,,,,,,,,,,,,,,,,7.52,0.62022666
,,,,,,,,,,,,,,,,,,,,,,,7.53,0.62023756
,,,,,,,,,,,,,,,,,,,,,,,7.54,0.620247342
,,,,,,,,,,,,,,,,,,,,,,,7.55,0.620257128
,,,,,,,,,,,,,,,,,,,,,,,7.56,0.620268039
,,,,,,,,,,,,,,,,,,,,,,,7.57,0.620277832
,,,,,,,,,,,,,,,,,,,,,,,7.58,0.620287629
,,,,,,,,,,,,,,,,,,,,,,,7.59,0.620298552
,,,,,,,,,,,,,,,,,,,,,,,7.6,0.620308357
,,,,,,,,,,,,,,,,,,,,,,,7.61,0.620318164
,,,,,,,,,,,,,,,,,,,,,,,7.62,0.620329099
,,,,,,,,,,,,,,,,,,,,,,,7.63,0.620338914
,,,,,,,,,,,,,,,,,,,,,,,7.64,0.620348733
,,,,,,,,,,,,,,,,,,,,,,,7.65,0.62035968
,,,,,,,,,,,,,,,,,,,,,,,7.66,0.620369506
,,,,,,,,,,,,,,,,,,,,,,,7.67,0.620379336
,,,,,,,,,,,,,,,,,,,,,,,7.68,0.620390294
,,,,,,,,,,,,,,,,,,,,,,,7.69,0.620400132
,,,,,,,,,,,,,,,,,,,,,,,7.7,0.620409973
,,,,,,,,,,,,,,,,,,,,,,,7.71,0.620420943
,,,,,,,,,,,,,,,,,,,,,,,7.72,0.620430791
,,,,,,,,,,,,,,,,,,,,,,,7.73,0.620440644
,,,,,,,,,,,,,,,,,,,,,,,7.74,0.620451625
,,,,,,,,,,,,,,,,,,,,,,,7.75,0.620461485
,,,,,,,,,,,,,,,,,,,,,,,7.76,0.620471348
,,,,,,,,,,,,,,,,,,,,,,,7.77,0.620482342
,,,,,,,,,,,,,,,,,,,,,,,7.78,0.620492212
,,,,,,,,,,,,,,,,,,,,,,,7.79,0.620502087
,,,,,,,,,,,,,,,,,,,,,,,7.8,0.620513092
,,,,,,,,,,,,,,,,,,,,,,,7.81,0.620522974
,,,,,,,,,,,,,,,,,,,,,,,7.82,0.62053286
,,,,,,,,,,,,,,,,,,,,,,,7.83,0.620543877
,,,,,,,,,,,,,,,,,,,,,,,7.84,0.62055377
,,,,,,,,,,,,,,,,,,,,,,,7.85,0.620563667
,,,,,,,,,,,,,,,,,,,,,,,7.86,0.620574696
,,,,,,,,,,,,,,,,,,,,,,,7.87,0.6205846
,,,,,,,,,,,,,,,,,,,,,,,7.88,0.620594508
,,,,,,,,,,,,,,,,,,,,,,,7.89,0.620605549
,,,,,,,,,,,,,,,,,,,,,,,7.9,0.620615464
,,,,,,,,,,,,,,,,,,,,,,,7.91,0.620625383
,,,,,,,,,,,,,,,,,,,,,,,7.92,0.620636436
,,,,,,,,,,,,,,,,,,,,,,,7.93,0.620646363
,,,,,,,,,,,,,,,,,,,,,,,7.94,0.620656293
,,,,,,,,,,,,,,,,,,,,,,,7.95,0.620667358
,,,,,,,,,,,,,,,,,,,,,,,7.96,0.620677296
,,,,,,,,,,,,,,,,,,,,,,,7.97,0.620688368
,,,,,,,,,,,,,,,,,,,,,,,7.98,0.620698314
,,,,,,,,,,,,,,,,,,,,,,,7.99,0.620708263
,,,,,,,,,,,,,,,,,,,,,,,8,0.620719348
,,,,,,,,,,,,,,,,,,,,,,,8.01,0.620729304
,,,,,,,,,,,,,,,,,,,,,,,8.02,0.620739265
,,,,,,,,,,,,,,,,,,,,,,,8.03,0.620750361
,,,,,,,,,,,,,,,,,,,,,,,8.04,0.62076033
,,,,,,,,,,,,,,,,,,,,,,,8.05,0.620770301
,,,,,,,,,,,,,,,,,,,,,,,8.06,0.62078141
,,,,,,,,,,,,,,,,,,,,,,,8.07,0.620791389
,,,,,,,,,,,,,,,,,,,,,,,8.08,0.620801373
,,,,,,,,,,,,,,,,,,,,,,,8.09,0.620812493
,,,,,,,,,,,,,,,,,,,,,,,8.1,0.620822484
,,,,,,,,,,,,,,,,,,,,,,,8.11,0.620832478
,,,,,,,,,,,,,,,,,,,,,,,8.12,0.620843611
,,,,,,,,,,,,,,,,,,,,,,,8.13,0.620853613
,,,,,,,,,,,,,,,,,,,,,,,8.14,0.620863619
,,,,,,,,,,,,,,,,,,,,,,,8.15,0.620874763
,,,,,,,,,,,,,,,,,,,,,,,8.16,0.620884777
,,,,,,,,,,,,,,,,,,,,,,,8.17,0.620894794
,,,,,,,,,,,,,,,,,,,,,,,8.18,0.62090595
,,,,,,,,,,,,,,,,,,,,,,,8.19,0.620915975
,,,,,,,,,,,,,,,,,,,,,,,8.2,0.620926004
,,,,,,,,,,,,,,,,,,,,,,,8.21,0.620937172
,,,,,,,,,,,,,,,,,,,,,,,8.22,0.620947209
,,,,,,,,,,,,,,,,,,,,,,,8.23,0.620957249
,,,,,,,,,,,,,,,,,,,,,,,8.24,0.620968429
,,,,,,,,,,,,,,,,,,,,,,,8.25,0.620978477
,,,,,,,,,,,,,,,,,,,,,,,8.26,0.620988529
,,,,,,,,,,,,,,,,,,,,,,,8.27,0.620999721
,,,,,,,,,,,,,,,,,,,,,,,8.28,0.621009781
,,,,,,,,,,,,,,,,,,,,,,,8.29,0.621019844
,,,,,,,,,,,,,,,,,,,,,,,8.3,0.621031048
,,,,,,,,,,,,,,,,,,,,,,,8.31,0.621041119
,,,,,,,,,,,,,,,,,,,,,,,8.32,0.621051194
,,,,,,,,,,,,,,,,,,,,,,,8.33,0.621062411
,,,,,,,,,,,,,,,,,,,,,,,8.34,0.621072493
,,,,,,,,,,,,,,,,,,,,,,,8.35,0.621082579
,,,,,,,,,,,,,,,,,,,,,,,8.36,0.621093808
,,,,,,,,,,,,,,,,,,,,,,,8.37,0.621103902
,,,,,,,,,,,,,,,,,,,,,,,8.38,0.621113999
,,,,,,,,,,,,,,,,,,,,,,,8.39,0.62112524
,,,,,,,,,,,,,,,,,,,,,,,8.4,0.621135346
,,,,,,,,,,,,,,,,,,,,,,,8.41,0.621145455
,,,,,,,,,,,,,,,,,,,,,,,8.42,0.621156708
,,,,,,,,,,,,,,,,,,,,,,,8.43,0.621166825
,,,,,,,,,,,,,,,,,,,,,,,8.44,0.621176946
,,,,,,,,,,,,,,,,,,,,,,,8.45,0.621188211
,,,,,,,,,,,,,,,,,,,,,,,8.46,0.62119834
,,,,,,,,,,,,,,,,,,,,,,,8.47,0.621208472
,,,,,,,,,,,,,,,,,,,,,,,8.48,0.62121975
,,,,,,,,,,,,,,,,,,,,,,,8.49,0.62122989
,,,,,,,,,,,,,,,,,,,,,,,8.5,0.621240034
,,,,,,,,,,,,,,,,,,,,,,,8.51,0.621251324
,,,,,,,,,,,,,,,,,,,,,,,8.52,0.621261475
,,,,,,,,,,,,,,,,,,,,,,,8.53,0.621271631
,,,,,,,,,,,,,,,,,,,,,,,8.54,0.621282933
,,,,,,,,,,,,,,,,,,,,,,,8.55,0.621293096
,,,,,,,,,,,,,,,,,,,,,,,8.56,0.621303264
,,,,,,,,,,,,,,,,,,,,,,,8.57,0.621314578
,,,,,,,,,,,,,,,,,,,,,,,8.58,0.621324753
,,,,,,,,,,,,,,,,,,,,,,,8.59,0.621334932
,,,,,,,,,,,,,,,,,,,,,,,8.6,0.621346259
,,,,,,,,,,,,,,,,,,,,,,,8.61,0.621356445
,,,,,,,,,,,,,,,,,,,,,,,8.62,0.62136608
,,,,,,,,,,,,,,,,,,,,,,,8.63,0.621374051
,,,,,,,,,,,,,,,,,,,,,,,8.64,0.621380879
,,,,,,,,,,,,,,,,,,,,,,,8.65,0.621389567
,,,,,,,,,,,,,,,,,,,,,,,8.66,0.621396401
,,,,,,,,,,,,,,,,,,,,,,,8.67,0.621403236
,,,,,,,,,,,,,,,,,,,,,,,8.68,0.621411932
,,,,,,,,,,,,,,,,,,,,,,,8.69,0.621418773
,,,,,,,,,,,,,,,,,,,,,,,8.7,0.621426762
,,,,,,,,,,,,,,,,,,,,,,,8.71,0.62143432
,,,,,,,,,,,,,,,,,,,,,,,8.72,0.621441168
,,,,,,,,,,,,,,,,,,,,,,,8.73,0.621449165
,,,,,,,,,,,,,,,,,,,,,,,8.74,0.621456731
,,,,,,,,,,,,,,,,,,,,,,,8.75,0.621464733
,,,,,,,,,,,,,,,,,,,,,,,8.76,0.621471591
,,,,,,,,,,,,,,,,,,,,,,,8.77,0.621479164
,,,,,,,,,,,,,,,,,,,,,,,8.78,0.621487175
,,,,,,,,,,,,,,,,,,,,,,,8.79,0.62149404
,,,,,,,,,,,,,,,,,,,,,,,8.8,0.621502055
,,,,,,,,,,,,,,,,,,,,,,,8.81,0.621509639
,,,,,,,,,,,,,,,,,,,,,,,8.82,0.621516511
,,,,,,,,,,,,,,,,,,,,,,,8.83,0.621524535
,,,,,,,,,,,,,,,,,,,,,,,8.84,0.621532126
,,,,,,,,,,,,,,,,,,,,,,,8.85,0.621539006
,,,,,,,,,,,,,,,,,,,,,,,8.86,0.621547038
,,,,,,,,,,,,,,,,,,,,,,,8.87,0.621554637
,,,,,,,,,,,,,,,,,,,,,,,8.88,0.621562674
,,,,,,,,,,,,,,,,,,,,,,,8.89,0.621569563
,,,,,,,,,,,,,,,,,,,,,,,8.9,0.62157717
,,,,,,,,,,,,,,,,,,,,,,,8.91,0.621585215
,,,,,,,,,,,,,,,,,,,,,,,8.92,0.621592112
,,,,,,,,,,,,,,,,,,,,,,,8.93,0.621600877
,,,,,,,,,,,,,,,,,,,,,,,8.94,0.621607779
,,,,,,,,,,,,,,,,,,,,,,,8.95,0.621614684
,,,,,,,,,,,,,,,,,,,,,,,8.96,0.621623458
,,,,,,,,,,,,,,,,,,,,,,,8.97,0.621630367
,,,,,,,,,,,,,,,,,,,,,,,8.98,0.62163843
,,,,,,,,,,,,,,,,,,,,,,,8.99,0.621646061
,,,,,,,,,,,,,,,,,,,,,,,9,0.621652978
,,,,,,,,,,,,,,,,,,,,,,,9.01,0.621661049
,,,,,,,,,,,,,,,,,,,,,,,9.02,0.621668687
,,,,,,,,,,,,,,,,,,,,,,,9.03,0.621676764
,,,,,,,,,,,,,,,,,,,,,,,9.04,0.621683691
,,,,,,,,,,,,,,,,,,,,,,,9.05,0.621691337
,,,,,,,,,,,,,,,,,,,,,,,9.06,0.621699422
,,,,,,,,,,,,,,,,,,,,,,,9.07,0.621706356
,,,,,,,,,,,,,,,,,,,,,,,9.08,0.621715164
,,,,,,,,,,,,,,,,,,,,,,,9.09,0.621722103
,,,,,,,,,,,,,,,,,,,,,,,9.1,0.621729045
,,,,,,,,,,,,,,,,,,,,,,,9.11,0.621737861
,,,,,,,,,,,,,,,,,,,,,,,9.12,0.621744807
,,,,,,,,,,,,,,,,,,,,,,,9.13,0.621752911
,,,,,,,,,,,,,,,,,,,,,,,9.14,0.621760581
,,,,,,,,,,,,,,,,,,,,,,,9.15,0.621767535
,,,,,,,,,,,,,,,,,,,,,,,9.16,0.621775647
,,,,,,,,,,,,,,,,,,,,,,,9.17,0.621782606
,,,,,,,,,,,,,,,,,,,,,,,9.18,0.621791442
,,,,,,,,,,,,,,,,,,,,,,,9.19,0.621798406
,,,,,,,,,,,,,,,,,,,,,,,9.2,0.621805373
,,,,,,,,,,,,,,,,,,,,,,,9.21,0.621814217
,,,,,,,,,,,,,,,,,,,,,,,9.22,0.621821189
,,,,,,,,,,,,,,,,,,,,,,,9.23,0.621829319
,,,,,,,,,,,,,,,,,,,,,,,9.24,0.621837015
,,,,,,,,,,,,,,,,,,,,,,,9.25,0.621843995
,,,,,,,,,,,,,,,,,,,,,,,9.26,0.621852133
,,,,,,,,,,,,,,,,,,,,,,,9.27,0.621859837
,,,,,,,,,,,,,,,,,,,,,,,9.28,0.621867982
,,,,,,,,,,,,,,,,,,,,,,,9.29,0.621874971
,,,,,,,,,,,,,,,,,,,,,,,9.3,0.621882683
,,,,,,,,,,,,,,,,,,,,,,,9.31,0.621890835
,,,,,,,,,,,,,,,,,,,,,,,9.32,0.621897832
,,,,,,,,,,,,,,,,,,,,,,,9.33,0.621906711
,,,,,,,,,,,,,,,,,,,,,,,9.34,0.621913713
,,,,,,,,,,,,,,,,,,,,,,,9.35,0.621920717
,,,,,,,,,,,,,,,,,,,,,,,9.36,0.621929604
,,,,,,,,,,,,,,,,,,,,,,,9.37,0.621936613
,,,,,,,,,,,,,,,,,,,,,,,9.38,0.621944785
,,,,,,,,,,,,,,,,,,,,,,,9.39,0.621952521
,,,,,,,,,,,,,,,,,,,,,,,9.4,0.621959538
,,,,,,,,,,,,,,,,,,,,,,,9.41,0.621967718
,,,,,,,,,,,,,,,,,,,,,,,9.42,0.621975461
,,,,,,,,,,,,,,,,,,,,,,,9.43,0.621983647
,,,,,,,,,,,,,,,,,,,,,,,9.44,0.621990674
,,,,,,,,,,,,,,,,,,,,,,,9.45,0.621998426
,,,,,,,,,,,,,,,,,,,,,,,9.46,0.622006619
,,,,,,,,,,,,,,,,,,,,,,,9.47,0.622013654
,,,,,,,,,,,,,,,,,,,,,,,9.48,0.622022575
,,,,,,,,,,,,,,,,,,,,,,,9.49,0.622029615
,,,,,,,,,,,,,,,,,,,,,,,9.5,0.622036658
,,,,,,,,,,,,,,,,,,,,,,,9.51,0.622045588
,,,,,,,,,,,,,,,,,,,,,,,9.52,0.622052635
,,,,,,,,,,,,,,,,,,,,,,,9.53,0.622059685
,,,,,,,,,,,,,,,,,,,,,,,9.54,0.622067901
,,,,,,,,,,,,,,,,,,,,,,,9.55,0.622075679
,,,,,,,,,,,,,,,,,,,,,,,9.56,0.6220839
,,,,,,,,,,,,,,,,,,,,,,,9.57,0.62209096
,,,,,,,,,,,,,,,,,,,,,,,9.58,0.622098747
,,,,,,,,,,,,,,,,,,,,,,,9.59,0.622106976
,,,,,,,,,,,,,,,,,,,,,,,9.6,0.622114044
,,,,,,,,,,,,,,,,,,,,,,,9.61,0.622123003
,,,,,,,,,,,,,,,,,,,,,,,9.62,0.622130076
,,,,,,,,,,,,,,,,,,,,,,,9.63,0.622137151
,,,,,,,,,,,,,,,,,,,,,,,9.64,0.622146119
,,,,,,,,,,,,,,,,,,,,,,,9.65,0.622153199
,,,,,,,,,,,,,,,,,,,,,,,9.66,0.622161448
,,,,,,,,,,,,,,,,,,,,,,,9.67,0.622169259
,,,,,,,,,,,,,,,,,,,,,,,9.68,0.622176347
,,,,,,,,,,,,,,,,,,,,,,,9.69,0.622184604
,,,,,,,,,,,,,,,,,,,,,,,9.7,0.622192423
,,,,,,,,,,,,,,,,,,,,,,,9.71,0.622200685
,,,,,,,,,,,,,,,,,,,,,,,9.72,0.622207784
,,,,,,,,,,,,,,,,,,,,,,,9.73,0.622215611
,,,,,,,,,,,,,,,,,,,,,,,9.74,0.622223882
,,,,,,,,,,,,,,,,,,,,,,,9.75,0.622230988
,,,,,,,,,,,,,,,,,,,,,,,9.76,0.622239991
,,,,,,,,,,,,,,,,,,,,,,,9.77,0.622247102
,,,,,,,,,,,,,,,,,,,,,,,9.78,0.622254216
,,,,,,,,,,,,,,,,,,,,,,,9.79,0.622263228
,,,,,,,,,,,,,,,,,,,,,,,9.8,0.622270347
,,,,,,,,,,,,,,,,,,,,,,,9.81,0.622278637
,,,,,,,,,,,,,,,,,,,,,,,9.82,0.622286489
,,,,,,,,,,,,,,,,,,,,,,,9.83,0.622293616
,,,,,,,,,,,,,,,,,,,,,,,9.84,0.622301914
,,,,,,,,,,,,,,,,,,,,,,,9.85,0.622309774
,,,,,,,,,,,,,,,,,,,,,,,9.86,0.622318078
,,,,,,,,,,,,,,,,,,,,,,,9.87,0.622325216
,,,,,,,,,,,,,,,,,,,,,,,9.88,0.622333084
,,,,,,,,,,,,,,,,,,,,,,,9.89,0.622341396
,,,,,,,,,,,,,,,,,,,,,,,9.9,0.622348542
,,,,,,,,,,,,,,,,,,,,,,,9.91,0.62235686
,,,,,,,,,,,,,,,,,,,,,,,9.92,0.622364739
,,,,,,,,,,,,,,,,,,,,,,,9.93,0.622371892
,,,,,,,,,,,,,,,,,,,,,,,9.94,0.622380218
,,,,,,,,,,,,,,,,,,,,,,,9.95,0.622388105
,,,,,,,,,,,,,,,,,,,,,,,9.96,0.622396437
,,,,,,,,,,,,,,,,,,,,,,,9.97,0.622403601
,,,,,,,,,,,,,,,,,,,,,,,9.98,0.622411496
,,,,,,,,,,,,,,,,,,,,,,,9.99,0.622419837
,,,,,,,,,,,,,,,,,,,,,,,10,0.622427008
,,,,,,,,,,,,,,,,,,,,,,,10.01,0.622436084
,,,,,,,,,,,,,,,,,,,,,,,10.02,0.62244326
,,,,,,,,,,,,,,,,,,,,,,,10.03,0.62245044
,,,,,,,,,,,,,,,,,,,,,,,10.04,0.622459524
,,,,,,,,,,,,,,,,,,,,,,,10.05,0.622466709
,,,,,,,,,,,,,,,,,,,,,,,10.06,0.622475069
,,,,,,,,,,,,,,,,,,,,,,,10.07,0.622482989
,,,,,,,,,,,,,,,,,,,,,,,10.08,0.622490181
,,,,,,,,,,,,,,,,,,,,,,,10.09,0.62249855
,,,,,,,,,,,,,,,,,,,,,,,10.1,0.622506479
,,,,,,,,,,,,,,,,,,,,,,,10.11,0.622514853
,,,,,,,,,,,,,,,,,,,,,,,10.12,0.622522056
,,,,,,,,,,,,,,,,,,,,,,,10.13,0.622529993
,,,,,,,,,,,,,,,,,,,,,,,10.14,0.622538375
,,,,,,,,,,,,,,,,,,,,,,,10.15,0.622545586
,,,,,,,,,,,,,,,,,,,,,,,10.16,0.622554707
,,,,,,,,,,,,,,,,,,,,,,,10.17,0.622561923
,,,,,,,,,,,,,,,,,,,,,,,10.18,0.622569141
,,,,,,,,,,,,,,,,,,,,,,,10.19,0.62257827
,,,,,,,,,,,,,,,,,,,,,,,10.2,0.622585494
,,,,,,,,,,,,,,,,,,,,,,,10.21,0.622592721
,,,,,,,,,,,,,,,,,,,,,,,10.22,0.622601859
,,,,,,,,,,,,,,,,,,,,,,,10.23,0.622609091
,,,,,,,,,,,,,,,,,,,,,,,10.24,0.622617502
,,,,,,,,,,,,,,,,,,,,,,,10.25,0.622625472
,,,,,,,,,,,,,,,,,,,,,,,10.26,0.622632712
,,,,,,,,,,,,,,,,,,,,,,,10.27,0.622641132
,,,,,,,,,,,,,,,,,,,,,,,10.28,0.62264911
,,,,,,,,,,,,,,,,,,,,,,,10.29,0.622657536
,,,,,,,,,,,,,,,,,,,,,,,10.3,0.622664786
,,,,,,,,,,,,,,,,,,,,,,,10.31,0.622672039
,,,,,,,,,,,,,,,,,,,,,,,10.32,0.622681207
,,,,,,,,,,,,,,,,,,,,,,,10.33,0.622688465
,,,,,,,,,,,,,,,,,,,,,,,10.34,0.622696905
,,,,,,,,,,,,,,,,,,,,,,,10.35,0.622704903
,,,,,,,,,,,,,,,,,,,,,,,10.36,0.622712169
,,,,,,,,,,,,,,,,,,,,,,,10.37,0.622720618
,,,,,,,,,,,,,,,,,,,,,,,10.38,0.622728624
,,,,,,,,,,,,,,,,,,,,,,,10.39,0.622737079
,,,,,,,,,,,,,,,,,,,,,,,10.4,0.622744356
,,,,,,,,,,,,,,,,,,,,,,,10.41,0.62275237
,,,,,,,,,,,,,,,,,,,,,,,10.42,0.622760833
,,,,,,,,,,,,,,,,,,,,,,,10.43,0.622768118
,,,,,,,,,,,,,,,,,,,,,,,10.44,0.622777322
,,,,,,,,,,,,,,,,,,,,,,,10.45,0.622784613
,,,,,,,,,,,,,,,,,,,,,,,10.46,0.622791906
,,,,,,,,,,,,,,,,,,,,,,,10.47,0.622801119
,,,,,,,,,,,,,,,,,,,,,,,10.48,0.622808417
,,,,,,,,,,,,,,,,,,,,,,,10.49,0.6228169
,,,,,,,,,,,,,,,,,,,,,,,10.5,0.622824941
,,,,,,,,,,,,,,,,,,,,,,,10.51,0.622832247
,,,,,,,,,,,,,,,,,,,,,,,10.52,0.622840739
,,,,,,,,,,,,,,,,,,,,,,,10.53,0.622848787
,,,,,,,,,,,,,,,,,,,,,,,10.54,0.622857285
,,,,,,,,,,,,,,,,,,,,,,,10.55,0.622864602
,,,,,,,,,,,,,,,,,,,,,,,10.56,0.622872659
,,,,,,,,,,,,,,,,,,,,,,,10.57,0.622881165
,,,,,,,,,,,,,,,,,,,,,,,10.58,0.622888491
,,,,,,,,,,,,,,,,,,,,,,,10.59,0.62289774
,,,,,,,,,,,,,,,,,,,,,,,10.6,0.622905071
,,,,,,,,,,,,,,,,,,,,,,,10.61,0.622912404
,,,,,,,,,,,,,,,,,,,,,,,10.62,0.622921663
,,,,,,,,,,,,,,,,,,,,,,,10.63,0.622929002
,,,,,,,,,,,,,,,,,,,,,,,10.64,0.622937528
,,,,,,,,,,,,,,,,,,,,,,,10.65,0.622945611
,,,,,,,,,,,,,,,,,,,,,,,10.66,0.622952958
,,,,,,,,,,,,,,,,,,,,,,,10.67,0.622961493
,,,,,,,,,,,,,,,,,,,,,,,10.68,0.622968845
,,,,,,,,,,,,,,,,,,,,,,,10.69,0.622978126
,,,,,,,,,,,,,,,,,,,,,,,10.7,0.622985483
,,,,,,,,,,,,,,,,,,,,,,,10.71,0.622992844
,,,,,,,,,,,,,,,,,,,,,,,10.72,0.623002133
,,,,,,,,,,,,,,,,,,,,,,,10.73,0.623009499
,,,,,,,,,,,,,,,,,,,,,,,10.74,0.623018055
,,,,,,,,,,,,,,,,,,,,,,,10.75,0.623026166
,,,,,,,,,,,,,,,,,,,,,,,10.76,0.62303354
,,,,,,,,,,,,,,,,,,,,,,,10.77,0.623042104
,,,,,,,,,,,,,,,,,,,,,,,10.78,0.623050224
,,,,,,,,,,,,,,,,,,,,,,,10.79,0.623058794
,,,,,,,,,,,,,,,,,,,,,,,10.8,0.623066179
,,,,,,,,,,,,,,,,,,,,,,,10.81,0.623074308
,,,,,,,,,,,,,,,,,,,,,,,10.82,0.623082887
,,,,,,,,,,,,,,,,,,,,,,,10.83,0.62309028
,,,,,,,,,,,,,,,,,,,,,,,10.84,0.623098417
,,,,,,,,,,,,,,,,,,,,,,,10.85,0.623105367
,,,,,,,,,,,,,,,,,,,,,,,10.86,0.62311037
,,,,,,,,,,,,,,,,,,,,,,,10.87,0.623113443
,,,,,,,,,,,,,,,,,,,,,,,10.88,0.623118449
,,,,,,,,,,,,,,,,,,,,,,,10.89,0.623121525
,,,,,,,,,,,,,,,,,,,,,,,10.9,0.623124602
,,,,,,,,,,,,,,,,,,,,,,,10.91,0.623129613
,,,,,,,,,,,,,,,,,,,,,,,10.92,0.623132693
,,,,,,,,,,,,,,,,,,,,,,,10.93,0.623136516
,,,,,,,,,,,,,,,,,,,,,,,10.94,0.623140789
,,,,,,,,,,,,,,,,,,,,,,,10.95,0.623144615
,,,,,,,,,,,,,,,,,,,,,,,10.96,0.6231477
,,,,,,,,,,,,,,,,,,,,,,,10.97,0.623152721
,,,,,,,,,,,,,,,,,,,,,,,10.98,0.623155808
,,,,,,,,,,,,,,,,,,,,,,,10.99,0.62316009
,,,,,,,,,,,,,,,,,,,,,,,11,0.623163923
,,,,,,,,,,,,,,,,,,,,,,,11.01,0.623167014
,,,,,,,,,,,,,,,,,,,,,,,11.02,0.623172043
,,,,,,,,,,,,,,,,,,,,,,,11.03,0.623175137
,,,,,,,,,,,,,,,,,,,,,,,11.04,0.623178976
,,,,,,,,,,,,,,,,,,,,,,,11.05,0.623183266
,,,,,,,,,,,,,,,,,,,,,,,11.06,0.623186363
,,,,,,,,,,,,,,,,,,,,,,,11.07,0.623191401
,,,,,,,,,,,,,,,,,,,,,,,11.08,0.623194501
,,,,,,,,,,,,,,,,,,,,,,,11.09,0.623198347
,,,,,,,,,,,,,,,,,,,,,,,11.1,0.623202645
,,,,,,,,,,,,,,,,,,,,,,,11.11,0.623206494
,,,,,,,,,,,,,,,,,,,,,,,11.12,0.623209599
,,,,,,,,,,,,,,,,,,,,,,,11.13,0.623213901
,,,,,,,,,,,,,,,,,,,,,,,11.14,0.623217755
,,,,,,,,,,,,,,,,,,,,,,,11.15,0.62322206
,,,,,,,,,,,,,,,,,,,,,,,11.16,0.623225916
,,,,,,,,,,,,,,,,,,,,,,,11.17,0.623229028
,,,,,,,,,,,,,,,,,,,,,,,11.18,0.623234084
,,,,,,,,,,,,,,,,,,,,,,,11.19,0.623237198
,,,,,,,,,,,,,,,,,,,,,,,11.2,0.62324106
,,,,,,,,,,,,,,,,,,,,,,,11.21,0.623245374
,,,,,,,,,,,,,,,,,,,,,,,11.22,0.623248493
,,,,,,,,,,,,,,,,,,,,,,,11.23,0.623253557
,,,,,,,,,,,,,,,,,,,,,,,11.24,0.623256678
,,,,,,,,,,,,,,,,,,,,,,,11.25,0.623260547
,,,,,,,,,,,,,,,,,,,,,,,11.26,0.623264869
,,,,,,,,,,,,,,,,,,,,,,,11.27,0.623268741
,,,,,,,,,,,,,,,,,,,,,,,11.28,0.623271867
,,,,,,,,,,,,,,,,,,,,,,,11.29,0.623276194
,,,,,,,,,,,,,,,,,,,,,,,11.3,0.62328007
,,,,,,,,,,,,,,,,,,,,,,,11.31,0.6232832
,,,,,,,,,,,,,,,,,,,,,,,11.32,0.62328828
,,,,,,,,,,,,,,,,,,,,,,,11.33,0.623291412
,,,,,,,,,,,,,,,,,,,,,,,11.34,0.623296495
,,,,,,,,,,,,,,,,,,,,,,,11.35,0.62329963
,,,,,,,,,,,,,,,,,,,,,,,11.36,0.623302767
,,,,,,,,,,,,,,,,,,,,,,,11.37,0.623307854
,,,,,,,,,,,,,,,,,,,,,,,11.38,0.623310993
,,,,,,,,,,,,,,,,,,,,,,,11.39,0.623314883
,,,,,,,,,,,,,,,,,,,,,,,11.4,0.623319226
,,,,,,,,,,,,,,,,,,,,,,,11.41,0.623323119
,,,,,,,,,,,,,,,,,,,,,,,11.42,0.623327466
,,,,,,,,,,,,,,,,,,,,,,,11.43,0.623331361
,,,,,,,,,,,,,,,,,,,,,,,11.44,0.623334508
,,,,,,,,,,,,,,,,,,,,,,,11.45,0.623338859
,,,,,,,,,,,,,,,,,,,,,,,11.46,0.623342759
,,,,,,,,,,,,,,,,,,,,,,,11.47,0.62334591
,,,,,,,,,,,,,,,,,,,,,,,11.48,0.623351016
,,,,,,,,,,,,,,,,,,,,,,,11.49,0.62335417
,,,,,,,,,,,,,,,,,,,,,,,11.5,0.62335928
,,,,,,,,,,,,,,,,,,,,,,,11.51,0.623362436
,,,,,,,,,,,,,,,,,,,,,,,11.52,0.623365594
,,,,,,,,,,,,,,,,,,,,,,,11.53,0.623370709
,,,,,,,,,,,,,,,,,,,,,,,11.54,0.623373869
,,,,,,,,,,,,,,,,,,,,,,,11.55,0.623377782
,,,,,,,,,,,,,,,,,,,,,,,11.56,0.62338215
,,,,,,,,,,,,,,,,,,,,,,,11.57,0.623386066
,,,,,,,,,,,,,,,,,,,,,,,11.58,0.623390438
,,,,,,,,,,,,,,,,,,,,,,,11.59,0.623393605
